Rank;Country Name;Male Height in Cm;Female Height in Cm
1;Netherlands;183.78;170.36
2;Montenegro;183.30;169.96
3;Estonia;182.79;168.66
4;Bosnia and Herzegovina;182.47;167.47
5;Iceland;182.10;168.91
6;Denmark;181.89;169.47
7;Czech Republic;181.19;167.96
8;Latvia;181.17;168.81
9;Slovakia;181.02;167.12
10;Slovenia;180.98;167.20
11;Ukraine;180.98;166.62
12;Croatia;180.76;166.80
13;Serbia;180.74;168.29
14;Lithuania;180.72;167.63
15;Poland;180.69;165.78
16;Finland;180.57;166.48
17;Norway;180.48;166.45
18;Sweden;180.46;166.67
19;Germany;180.28;166.18
20;Dominica;180.15;166.89
21;Bermuda;179.72;166.11
22;Puerto Rico;179.48;163.06
23;Greece;179.26;165.81
24;Belgium;179.09;163.40
25;Ireland;179.04;164.50
26;Lebanon;178.96;163.67
27;Andorra;178.84;165.53
28;Antigua and Barbuda;178.84;165.72
29;Australia;178.77;164.67
30;Canada;178.75;164.73
31;Switzerland;178.73;164.33
32;Grenada;178.70;165.99
33;Belarus;178.69;166.93
34;France;178.60;164.49
35;Austria;178.52;166.93
36;Luxembourg;178.46;165.07
37;Cook Islands;178.32;167.31
38;French Polynesia;178.32;166.52
39;United Kingdom;178.21;163.94
40;Romania;177.82;164.73
41;New Zealand;177.72;164.66
42;Saint Vincent and the Grenadines;177.49;165.30
43;Niue;177.19;167.03
44;American Samoa;177.09;167.55
45;Barbados;177.03;165.66
46;Jamaica;176.97;164.32
47;United States;176.94;163.31
48;Tunisia;176.85;161.69
49;Russia;176.65;164.52
50;Hungary;176.59;162.55
51;Saint Lucia;176.43;165.52
52;North Macedonia;176.43;160.88
53;Libya;176.39;162.56
54;Turkey;176.36;161.80
55;Morocco;176.35;161.18
56;Senegal;176.18;163.92
57;Spain;176.11;162.03
58;Tokelau;176.06;166.08
59;Trinidad and Tobago;176.03;163.38
60;Israel;175.98;162.22
61;Georgia;175.98;163.24
62;Seychelles;175.90;162.47
63;Brazil;175.73;162.41
64;China;175.66;163.46
65;Iran;175.62;161.18
66;Moldova;175.59;162.96
67;South Korea;175.52;163.23
68;Kazakhstan;175.50;161.74
69;Tonga;175.11;166.08
70;Palestine;175.05;161.28
71;Algeria;175.04;162.35
72;Mali;175.02;161.99
73;Kuwait;174.96;160.10
74;Jordan;174.84;159.46
75;Hong Kong;174.83;160.62
76;Argentina;174.76;161.22
77;North Korea;174.69;161.22
78;Dominican Republic;174.65;161.21
79;Egypt;174.57;160.88
80;Suriname;174.51;162.26
81;Italy;174.42;161.81
82;Samoa;174.42;163.82
83;Bahamas;174.40;163.46
84;Malta;174.38;162.95
85;Turkmenistan;174.37;162.83
86;Portugal;174.37;161.23
87;Uruguay;174.32;161.56
88;Bulgaria;174.17;164.58
89;United Arab Emirates;174.08;160.53
90;Albania;174.07;162.23
91;Costa Rica;174.04;160.36
92;Azerbaijan;174.00;161.37
93;Fiji;173.98;164.28
94;Greenland;173.84;161.40
95;Paraguay;173.81;159.76
96;Iraq;173.79;158.75
97;Saint Kitts and Nevis;173.71;162.78
98;Armenia;173.67;159.85
99;Cuba;173.56;160.13
100;Venezuela;173.53;160.04
101;Taiwan;173.53;160.70
102;Singapore;173.50;161.30
103;Qatar;173.27;160.72
104;Botswana;173.16;162.06
105;Mauritius;173.01;158.94
106;Chile;172.88;159.42
107;Bahrain;172.76;158.29
108;Cyprus;172.75;160.55
109;Haiti;172.23;160.58
110;Guyana;172.15;159.57
111;Cameroon;172.13;160.41
112;Sudan;172.07;160.36
113;Japan;172.06;158.50
114;Burkina Faso;171.89;161.33
115;Colombia;171.85;157.96
116;Chad;171.84;162.12
117;Oman;171.70;158.44
118;Kyrgyzstan;171.66;160.20
119;Syria;171.64;159.38
120;Thailand;171.61;159.42
